type/color,num
"rubber strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Zoop case\"",10
secured with a TSA lockOne handle on the top and one on the side,27
"see the image for a mock-up of what the actual blouse would look like\"",38
"see the image for a mock-up of what the actual blouse would look likeOrigin:Kanjeevaram sarees are made in the Kanchipuram region in Tamil Nadu. The fabric bears the images of all the scriptures embossed on the walls of the temples of the Kanchipuram?village.\"",9
silver-plated,6
slip-on closure,16
"slip-on closure\"",9
softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft,25
"stainless steel strap with a button closureWater resistance: Water ResistantWarranty: 1 yearWarranty provided by brand/manufacturer\"",6
"stainless steel strap with a foldover closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case\"",12
"stainless steel strap with a foldover closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case\"",8
this breakthrough formula allows high levels of pigment to converge with water for cushiony,10
while smoothing polymers provide the durable,8
zari,7
zip closure,10
Blue,254
Unknown,37
has a spread collar,12
mounted 360-degree wheelsOne main zip compartment with a zip lining,9
has high-top styling,14
has long sleeves,22
has mid-top styling,78
has polo collar,9
has regular styling,982
has round neck,17
has shoulder straps,39
has sleeveless,16
"has tasselled border\"",6
has two pockets,22
highly distressed,6
hook and bar closure,21
is super long wearing and easy to apply. The lipstick glides on easily to deliver an instant pop of colour. It is specially formulated to provide your lips with a glossy finish and a moisturizing rich coverage for ultra-pigmented lips.Features:Ultra nourishing lip colour that delivers a full impact colourIt features a rich yet lightweight creme-based formulaProvides a silky smooth finish and a great colour pay offThe ultra comfortable formula,10
it coats your lips with a richly pigmented,17
"leather strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case\"",15
"leather strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case\"",8
"leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case\"",8
long sleeves,8
low distress,46
mildly distressed,48
non-padded and seamless cups,11
opaque,48
refined mica provides a lit-from-within glow. Similar to a silk kimono,7
Reset TimeStrap style: Silver-Toned bracelet style,10
Silver,63
Stopwatch,6
White,156
Yellow,35
a bow detail on the centre front,17
a bow detail on the front centre,8
brass-plated,15
button closure,279
clean look,533
clean look with light fade,6
drawstring closure,7
"each has an elasticated mouth and a flat-toe seam.Note: The final product delivered might vary in colour and prints from the display here\"",12
each has an elasticated waistband,7
elasticated and adjustable shoulder straps,7
"elasticated waist band Three pockets and drawstring closure\"",8
full-coverage color that feels utterly weightless and provides a powder-soft finish on lips.What it does:A unique blend of waxes and oils melts and transforms into an ultra-thin,6
gold-plated,40
has  shoulder straps,15
has 2 pockets,10
has 4 pockets,14
has adjustable shoulder straps,10
has an attached hood,9
has an attached hood with a drawstring fastening,6
has an elasticated waistband,55
has an elasticated waistband with a drawstring fastening,25
has an elasticated waistband with drawstring closure,26
has an elasticated waistband with drawstring fastening,17
has an elasticated waistband with slip-on closure,12
"has an elasticated waistband with slip-on closure\"",22
"has an elasticated waistband\"",16
has an inner elasticated waistband,6
has an off-shoulder neck,27
has an outer elasticated waistband,12
"has artificial beadsSecured with a post and back closure\"",6
"has artificial stonesSecured with a post and back closure\"",11
has beaded and layered detail with hook closureA pair of gold-plated handcrafted drop earrings,7
has central lace-upsLeather upper,10
has central lace-upsLeather upperCushioned footbedTextured PVC outsole,7
has elasticated gussets on both sidesLeather upper,8
has elasticated waistband,6
has a partially elasticated waistband,10
has a peaked lapel,7
has a polo collar,374
has a round neck,1660
has a scoop neck,19
has a shawl collar,9
has a shirt collar,99
has a slim collar,60
"has a slip-on closure\"",11
has a spread collar,1297
has a square neck,20
has a stand collar,94
has a tie-up neck,65
has a turtle neck,6
has a waistband with belt loops,24
has a zip closure1 main compartment,110
has a zip closure2 main compartments,56
has a zip closure3 main compartments,6
has a zip closure4 main compartments,7
has 5 pockets,22
has a Henley neck,43
has a Peter Pan collar,9
has a V-neck,210
has a boat neck,53
has a button closure,32
has a button closure1 main compartment,30
has a button closure3 main compartments,9
has a button-down collar,77
has a cutaway collar,13
has a drawstring closure,8
has a high neck,26
has a hood,142
has a hooded,40
has a keyhole neck,79
has a keyhole neck with button closure,9
has a mandarin collar,506
has a mock collar,90
has a mock collar with button detail,6
has a notched lapel,71
has a notched lapel collar,20
has a notched round neck,29
"",304
"mid-rise   Clean look   Stretchable   5 pocket   Length: regular  \"",9
"regular sleeves   Knitted cotton fabric  \"",6
2 slip pockets,8
Beige,30
Black,206
Brown,114
Burgundy,6
Calendar,6
Date ApertureStrap style: Black regular,7
Date ApertureStrap style: Brown regular,8
Date ApertureStrap style: Silver-Toned bracelet style,13
Gold,76
Green,148
Grey,56
Maroon,12
Matte,8
Orange,26
Pink,57
Purple,17
Red,347
